Group,Variable,N,Mean,Std. Dev.,Median,Min,Max
Balance Sheet Variables,Leverage,512,10.76,1.49,10.66,7.24,15.19
Balance Sheet Variables,Total Assets (USD bn),512,1517.09,998.49,1505.78,153.97,4560.2
Balance Sheet Variables,Total Liabilities (USD bn),512,1374.54,909.83,1353.28,138.56,4199.99
Balance Sheet Variables,Total Equity (USD bn),512,142.55,91.86,124.35,15.41,362.44
Balance Sheet Variables,Repo Funding (USD bn),489,127.2,104.05,130.61,0.21,588.04
Growth Variables,Leverage Growth (%),504,0.27,4.76,0.03,-25.84,51.13
Growth Variables,Total Assets Growth (%),504,1.06,4.5,0.79,-22.7,47.6
Growth Variables,Total Liabilities Growth (%),504,1.1,4.95,0.75,-24.6,53.12
Growth Variables,Total Equity Growth (%),504,0.83,2.23,0.8,-11.79,14.84
Growth Variables,Repo Funding Growth (%),481,6.21,55.22,0.16,-91.33,819.79
Risk Variables,Value-at-Risk,504,69.61,56.2,65.06,1.6,294.18
Risk Variables,Value-at-Risk Growth (%),496,1.77,28.71,-1.5,-62.18,369.7
Regulatory Variables,Liquidity Coverage Ratio,293,106.85,39.14,118.0,1.04,154.0
Regulatory Variables,CET1 Ratio,398,12.73,1.68,12.37,9.8,17.7
Regulatory Variables,Supplementary Leverage Ratio,366,6.66,1.0,6.6,4.0,9.51
Payout Policy,Dividend Payout Ratio,496,39.63,228.89,26.06,0.0,4990.48
Control Variables,Return on Assets,511,0.87,0.32,0.89,-0.66,2.12
Volatility Index,VIX,384,17.98,5.28,16.52,10.31,34.49
