quarter,in_baseline_sample,in_lcr_sample
2010Q1,7,0
2010Q2,7,0
2010Q3,8,0
2010Q4,8,0
2011Q1,8,0
2011Q2,8,0
2011Q3,8,0
2011Q4,8,0
2012Q1,8,0
2012Q2,8,0
2012Q3,8,0
2012Q4,8,0
2013Q1,8,0
2013Q2,8,0
2013Q3,8,0
2013Q4,8,0
2014Q1,8,0
2014Q2,8,0
2014Q3,8,0
2014Q4,8,0
2015Q1,8,1
2015Q2,8,1
2015Q3,8,1
2015Q4,8,1
2016Q1,8,1
2016Q2,8,2
2016Q3,8,2
2016Q4,8,2
2017Q1,8,2
2017Q2,8,2
2017Q3,8,5
2017Q4,8,8
2018Q1,8,8
2018Q2,8,8
2018Q3,8,8
2018Q4,8,8
2019Q1,8,8
2019Q2,8,7
2019Q3,8,7
2019Q4,8,7
2020Q1,8,8
2020Q2,8,8
2020Q3,8,8
2020Q4,8,8
2021Q1,8,7
2021Q2,8,8
2021Q3,8,8
2021Q4,8,8
2022Q1,8,8
2022Q2,8,8
2022Q3,8,8
2022Q4,8,8
2023Q1,8,8
2023Q2,8,8
2023Q3,8,8
2023Q4,8,8
2024Q1,8,8
2024Q2,8,8
2024Q3,8,8
2024Q4,8,8
2025Q1,8,8
2025Q2,8,8
2025Q3,8,8
2025Q4,8,8
