variable,stat,M1_baseline,M1_first_diff,M2_bank_type,M2_bank_type_first_diff
d_ln_unit_var_lag,coef,+0.0118**,+0.0098**,+0.0095,+0.0103
d_ln_unit_var_lag,tstat,(2.16),(1.97),(1.61),(1.45)
size_lag,coef,-0.0741**,-,-0.0740**,-
size_lag,tstat,(-2.58),,(-2.57),
roa_lag,coef,+0.0089***,-,+0.0089***,-
roa_lag,tstat,(2.68),,(2.62),
d_size_lag,coef,-,-0.2747***,-,-0.2749***
d_size_lag,tstat,,(-6.80),,(-6.50)
d_roa_lag,coef,-,-0.0029,-,-0.0029
d_roa_lag,tstat,,(-0.59),,(-0.56)
d_ln_unit_var_x_market,coef,-,-,-0.0111,-0.0030
d_ln_unit_var_x_market,tstat,,,(-0.96),(-0.24)
d_ln_unit_var_x_custody,coef,-,-,+0.0121,-0.0012
d_ln_unit_var_x_custody,tstat,,,(0.74),(-0.12)
Status,,OK,OK,OK,OK
Error,,,,,
N (obs),,510,509,510,509
N (banks),,8,8,8,8
R2,,-0.0669,0.0420,-0.0638,0.0423
Bank FE,,Yes,No,Yes,No
Time FE,,Yes,Yes,Yes,Yes
Period,,2010-03-31 - 2025-12-31,2010-03-31 - 2025-12-31,2010-03-31 - 2025-12-31,2010-03-31 - 2025-12-31
Lagged leverage,,No,No,No,No
