model,N,variable,R2_aux,tolerance,VIF
H1H2_baseline,510,roa_l1,0.0016450746686199613,0.99835492533138,1.0016477853986385
H1H2_baseline,510,size_l1,0.0015292709308952768,0.9984707290691047,1.0015316131824126
H1H2_baseline,510,dln_unitvar_l1,0.000660878508906948,0.999339121491093,1.000661315558147
H1H2_first_diff,509,droa_l1,0.013533669685035998,0.986466330314964,1.0137193427379472
H1H2_first_diff,509,dln_unitvar_l1,0.009570793875970818,0.9904292061240292,1.0096632791286773
H1H2_first_diff,509,dsize_l1,0.009400252970483525,0.9905997470295165,1.0094894562598786
H1H2_adl,510,size_l1,0.030858020569718647,0.9691419794302814,1.0318405571367972
H1H2_adl,510,dln_leverage_l1,0.02955246882361917,0.9704475311763808,1.0304524128036017
H1H2_adl,510,roa_l1,0.0016695816073131198,0.9983304183926869,1.0016723737718032
H1H2_adl,510,dln_unitvar_l1,0.0006896344576208246,0.9993103655423792,1.0006901103815196
H1H2_group_fe,510,dln_unitvar_l1,0.31643654542829314,0.6835634545717069,1.4629219764631207
H1H2_group_fe,510,dln_unitvar_l1_x_custody,0.27724794195731817,0.7227520580426818,1.3836003493482205
H1H2_group_fe,510,dln_unitvar_l1_x_market,0.0850842780843305,0.9149157219156695,1.0929968477382586
H1H2_group_fe,510,size_l1,0.002956399981843383,0.9970436000181566,1.0029651661991408
H1H2_group_fe,510,roa_l1,0.0021358669090559834,0.997864133090944,1.0021404386010349
H1H2_group_diff,509,dln_unitvar_l1,0.32155124795321877,0.6784487520467812,1.4739506808482519
H1H2_group_diff,509,dln_unitvar_l1_x_custody,0.29016585850015675,0.7098341414998433,1.4087798001474698
H1H2_group_diff,509,dln_unitvar_l1_x_market,0.08450913107570468,0.9154908689242953,1.0923101845625214
H1H2_group_diff,509,dsize_l1,0.028201254886385474,0.9717987451136145,1.0290196453002092
H1H2_group_diff,509,droa_l1,0.01648370145089717,0.9835162985491028,1.0167599677557089
H3_lcr,280,size_l1,0.06160974041213918,0.9383902595878608,1.0656547100554923
H3_lcr,280,lcr_ratio_l1,0.057765282665799056,0.9422347173342009,1.061306680387696
H3_lcr,280,dln_unitvar_l1_x_lcr,0.04972782130342668,0.9502721786965733,1.0523300822840411
H3_lcr,280,dln_unitvar_l1,0.03372405546412938,0.9662759445358706,1.0349010607734088
H3_lcr,280,roa_l1,0.022919864351259478,0.9770801356487405,1.0234575072351069
H3_cet1,348,cet1_ratio_l1,0.2146582086109784,0.7853417913890216,1.273330938152821
H3_cet1,348,size_l1,0.1861433662036064,0.8138566337963936,1.2287176370797694
H3_cet1,348,dln_unitvar_l1_x_cet1,0.1011102129962188,0.8988897870037812,1.1124834373001875
H3_cet1,348,dln_unitvar_l1,0.08992210061592909,0.9100778993840709,1.0988070369325387
H3_cet1,348,roa_l1,0.0809466380346423,0.9190533619653577,1.0880761024164487
H3_slr,335,dln_unitvar_l1_x_slr,0.03115573247033354,0.9688442675296665,1.0321576268906185
H3_slr,335,size_l1,0.03020170901344832,0.9697982909865517,1.031142258440902
H3_slr,335,roa_l1,0.017317776465494816,0.9826822235345052,1.0176229670698695
H3_slr,335,dln_unitvar_l1,0.014158477774827372,0.9858415222251726,1.014361819273822
H3_slr,335,slr_ratio_l1,0.0019950303334111963,0.9980049696665888,1.0019990184358276
